unqProductCategoryId,unqProductId,vchSegmentCode,vchSegmentDescription,vchFamilyCode,vchFamilyDescription,vchClassCode,vchClassDescription,intBrickCode,"vchBrickDescription""",vchProductName,bitConsumerUnit,datModified,datPublished,vchTargetMarket,vchReferenceId,vchBrandName,unqProductClaimId,bitGlutenFree,bitKosher,bitMsgFree
510386EF-018A-43AF-B732-1BE18ACE9F9D,11C3E6E7-6415-4446-9BE7-A7073BF01CBB,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, CHILI POWDER, LIGHT, 18OZ",1,2016-09-14 11:28:29,2016-09-14 12:12:27,US,UJI7N1,DURKEE,B92ADA74-BAF2-4EC9-8910-16465E53DD16,1.0,1.0,
E820F3A5-8CE7-4CA7-83A7-1CB906C74E1A,08C3B58B-63AA-4F94-9553-1703F3B4880B,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, BACON BITS, IMITATION, 25LB",1,2016-09-14 11:12:37,2016-09-14 11:12:54,US,E2WOl2,DURKEE,36472CF6-B121-4055-9419-DBB69EEB26A4,1.0,1.0,
1586A375-5A26-43A5-86C2-1D224A846DA2,429938DB-79F1-47DD-B307-39ADDB0D9141,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000050,Extracts/Salt/Meat Tenderisers (Shelf Stable),"DURKEE, PURE EXTRACT, VANILLA, 32FO",1,2016-03-28 16:45:28,2016-11-08 16:12:36,US,zGbnCN,DURKEE,AD903574-53A8-40E8-820A-2615737D6B8F,,,
0746A4AF-1B4A-4EDC-9023-1F8620F6D2B5,817CFC17-B573-470B-81F5-AF128BF13D5C,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, GRILL SEASONING, 22OZ",1,2016-09-14 12:07:33,2016-09-14 12:12:29,US,JxatQY,DURKEE,BABF8F3D-6C46-4C1D-B8D7-5876023BE21C,1.0,,
DBD9E690-9A45-4306-B6D4-201291EE1CBB,37D9349E-DCF6-4103-B109-E18B6495A0F1,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, SESAME SEED, 19OZ",1,2016-09-14 11:44:58,2016-09-14 12:12:28,US,kJS5YK,DURKEE,0530AEF3-5DEF-4A58-A169-5B2057005CA6,1.0,1.0,
FD8E9F8A-630B-427C-A212-207D5F0C48C8,F48A427E-E6B8-4911-9DD7-A4F98E733B84,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, BASIL, GROUND, 12OZ",1,2016-09-14 11:25:02,2016-09-14 12:12:27,US,YdzgWF,DURKEE,0164AA39-20AE-4353-A4CA-A5940BE42AFE,1.0,1.0,
021326C4-7863-457B-9715-208F4387E097,D1573B0A-5665-43C0-A591-5E127CC01324,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, CAYENNE PEPPER, 25LB",1,2016-09-14 12:23:38,2016-09-14 13:12:56,US,aWb0Pk,DURKEE,DC3F4DF0-0823-45DB-B4B7-B5E085C2BC60,1.0,1.0,
38B16083-9565-47BC-92FF-21B7EF31E61C,C208CBD9-D9BD-4599-943C-B447A94F999F,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, OREGANO LEAVES, 20LB",1,2016-09-14 12:23:38,2016-09-14 13:12:56,US,UOJnTH,DURKEE,1ADB8B38-8B88-4614-87BD-C5295ABDFE77,1.0,1.0,
7F96A17F-92B5-4E7D-9580-220337263E3F,EF80CC47-52C9-4F88-8DD9-0E95967A15AE,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000050,Extracts/Salt/Meat Tenderisers (Shelf Stable),"DURKEE, PURE EXTRACT, VANILLA, 16FO",1,2016-03-28 16:36:44,2016-11-08 16:12:36,US,CS0aF2,DURKEE,57F5A54E-7197-4840-BDC7-F742009555CF,,,
0B857C33-9537-48EE-BA07-23981B94E2E4,015CA97D-8D92-41AF-8F7B-860469F78A40,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, CORIANDER, GROUND, 14OZ",1,2016-09-14 12:24:49,2016-09-14 13:12:55,US,zPWdIE,DURKEE,24A830E1-A090-4F8D-B03D-83702FDED04B,1.0,1.0,
